TTBT62,514c
YCTC11,401
WRTZ93,210
BGVL79,J18
YFPJ46,206
CTKG78,428e
RKYC93,I10n
KGGK15,303e
YWXB37,H14
TJPB19,203
CRBH42,271
JKFX16,E12
CFVT21,262n
HYSF23,B10
HXFH87,508
FJGG14,207
JBZR72,F25
HBRW35,514
FRFT82,506v
LKWC30,C17
BDWH94,J13
PRWS44,113e
WFJR45,106
PVDY17,502
WZFZ66,204n
ZZXT76,503
FHPC61,I18
GYFZ87,206c
PYDS56,408e
DLBB49,B14
ZDGG57,B15
PFDS78,425
YFJC59,C16
LVYX31,2234
DXTS88,B22
BJHF86,D08
CLHY39,262n
GHWJ10,C18
LWBH39,205
WZGK81,426
SGYG93,I01
ZYZX87,E04
RGTH41,G02
ZPKR20,109n
FJYY85,303
BRSJ25,109
XRJZ10,514c
DHYG27,205c
BXRJ20,F08
SJFR41,209c
LWKK88,507
RPZW61,I16
BJHR31,F02
DWCZ50,D16
JPPB70,F18
HWYW95,G11
ZHJB18,323
JTSJ32,B06
TXRP14,301
GHKX31,207c
WKTS15,203
SWKD93,I14
KVLF26,J08
XJLW43,405
PGBJ58,B02n
ZJFK97,102
WBGT65,C06
GKSD55,262n
WDGV64,I16
PWLK52,502c
KYXJ14,B12
DZTB27,B28
LZDT56,209c
XXFV50,302n
BRBF64,329
XJLB71,D09
RGVR38,B06
KCLX86,313e
LXSB41,J15c
PLPF62,J02
ZDHX11,417e
CRPD30,G14
BXHG35,F10
YZWC44,C10e
ZPXC20,322
KHCZ67,223
TJPG73,323
FDDK41,204e
HKFR54,410e
PRRJ12,356n
GJTL59,H08
YVCL68,115
WGKD28,403
PYSZ72,G13
XYSH63,307c
ZKRC22,I20
JRYD53,213e
WRKS25,412
PCLF96,519
PLTY28,401c
GKFY75,I21
WGBH26,435
YLCD73,210
KFYG33,I25
KDJD97,214
TTCG23,C08
CCRL73,F01c
DXLP49,E06
YZYV44,111
GJCG54,301c2
FJRB42,I20
BGHL44,F03
SJCK40,409
HZPP22,D07
SLHK76,C01
PBSB19,C12
VBGZ87,E03
SKTS62,102
BCPC94,126
LWKL61,307c
LYPK26,325
BRXW71,F30
CGVT54,271
FYVY41,B12
VBBX41,B03
JFLL24,H07
VYSX83,B08
WGFB67,I14n
DSFW74,F09
SFSK20,H07
LDTD17,J17
HTYG95,230
KFGJ96,C14
LBDY60,H09
KGBC37,B29
SRFV35,503
VHSD77,113c
HDJW12,G23
JJVB79,204
TCSR66,G14
XFYJ10,E11
WGBL90,H07
RZBJ89,J03
KHZL61,481
SRSB60,514
BCPV95,C20
DDDZ65,E16
GVRZ14,C10e
KZFC11,D10
PKKY85,I03
WPDH28,B29
JYBY93,D20
GVBG26,408e
CBHX29,329
BPYJ71,H05
BPVB69,C22
WRDH56,C03
PHGW90,G11
TVZZ50,I22
VJHG63,403
FZHS96,113
VGLL89,F13
GKCH51,C01c
WHRX50,207
ZSBH62,203n
KBGH87,405c
VLVV69,J08
LYCD64,102
TVWR90,G07
WXYC64,D08
RTKS46,E08
RKJS65,B19
XBJS30,D02
GLTS40,408e
VRFS70,B11
JYWF62,I11
VZDX89,207c
KRZX18,D07
HTBP87,385
KCBJ96,J13c
XYLR74,504
VPLH30,F26
PRJF37,F12c
BXTL85,E07
BXGS84,C19
TZWY83,210
SDDH18,207c
WKPR23,101
VWFW11,203c
GGCG99,D05
LXYL93,J10
RHKP98,424
PSKV99,226
XCPL47,D17v
TZBG24,102
KTVJ98,J17
DSCS63,F10c
KPXY38,B05
ZLVW20,302n
DSSY62,E17
JBDV37,419
GZVL88,I17
WBXY27,F01c
FYYX80,D15
JLVS75,407
CYJL53,516
VCHB35,423
XWTG92,B11
FFTJ44,264n
JXBX91,E16
WXHK16,F06
PBJS27,G16
TTWT57,211
YDLH59,321
SFDF97,223
LXKB98,J12
JHTJ96,G09
RZRJ11,I08n
HRCF32,J19
VLPS88,B15
SVSH33,E16
XZSC44,228
BHVG13,206
HFYV76,D17
BFBK20,C06c
CCCZ30,385
YSPB29,I22
DHPD28,H09
CLBX53,425
ZPJS41,J02
HXLB29,J18
GYJY58,J13c
RXDC25,407
FRCG30,C17
LRRH74,H07
FXBD21,E05
CBTY69,D17v
HVCW89,409
FDZL48,D01
TVWT68,322
KCPB24,121
DKLR53,E02
KTWV69,308
XDYT28,F15
JBVL55,E12
FCFY54,I02
LHSZ54,I03
HXCK89,217e
RPJY72,302e
RLXT25,410
BTSP44,B24
ZHVB14,H06
FLGT79,H08
WCSH78,E01
CWZK86,203n
DYBB90,H14
WSLR31,F18
YDGG98,506
PGZV14,B19
JPTP88,E10
HFBB28,322
BRZJ93,204
RLZC89,F30
WGBX20,410e
DHDJ90,348
PYKK95,G08
VTSC66,B28
HZPW41,I04c
HGHH64,C18
BZJS43,G02
DJRS41,103
GKTX63,107
YPJF28,502c
LTKZ45,D07c
PHZH42,I14
KLCK12,410e
WZPY94,C01c
FRXJ51,408
GXZL15,E03
ZBWC50,F19
ZHXD96,301c2
WHFL57,E01
JLFC71,B06
FLZK34,205
WJJB57,303e
XLJC89,B14
BJVG64,C06c
HXZF63,E16
PVFC94,507
ZBSJ91,408e
DPZF72,481
CBYK13,210
GBFC77,230
YTPL63,107
SJZD74,D11
JKYR36,I03
WRGT35,F15
YZXP18,G04
BFZV29,B07
CTJL79,401
GHKW37,B31n
KFCW77,329
VZCR77,430
WKHV63,417e
WPYJ29,C18
BJSC95,J03
JDWJ43,207c
XDFK66,385
ZDZT51,428
BWFB83,I09c
YVFG72,I25
DHXW25,307
DPCJ53,B02n
VHXY84,429
PZYT76,H04
CGZZ95,J02
JZPZ58,F20
GGJS25,345
VZDK17,409
XVLJ93,203
PCYD92,I03
DSSB95,F20
KKKB77,J19
LXLS47,E03
FJKG28,301c
LTZX93,C15
TVBR57,203e
TSXJ19,510
CWDV88,422c
SZXY22,C11
TGVD67,F10
LRFK43,404
CLVS18,B28
GGHZ92,272
ZGWD22,I09c
WCDJ54,348
GFRF14,302e
WVYF93,E09
JWHC31,431c
DDXF10,205
GWKC40,I14
DLPC34,402
CJVR48,110c
BKHX17,418
KVTG94,H14
RLCL24,J11
LYLR59,F13c
HZFF37,B18e
BHPK39,C01c
BTXS34,I21
PXKL49,B06
TCZD89,415e
BPFF39,H02
HJBV40,J18
VPCG23,H03
CRXS82,425
PHDC99,301
HWZY17,B06
GKRB53,I08c
SCFT32,G16
THSG74,B05
YJSY73,G16
VVXP61,H12
RFXZ12,G11
ZHPD62,322
HJXY28,113c
BZFY27,E08
KSCX27,303e
ZSDL12,I08n
TPHP79,B30n
LTTC73,105
XBJZ60,321
CGJZ16,E10
TDRJ47,486
DLJF94,G09
RCVZ14,B13
HJBF76,205c
JLZR29,F01c
VFTB75,430
SVPY71,518
XTTV76,201e
GJXX51,204n
WFHF19,J07c
WZVH25,508
DHKV52,I20
JLFV17,D13
DJJP98,208
STXX86,428
LBHG81,B01
YGPB32,H06
TKTT34,409
SJRG24,F13c
XYPP93,425
ZJJX79,405
PXYC24,G16
ZTKG77,H05
ZVXL95,J02
HSZY85,F07
RLJZ98,712
FHSF44,409
CPWR19,307c
SDPK80,271
TVZW46,I04
